Category,Priority,Title,Description,File(s) Affected
Optimization,Low,Use const/let instead of implicit globals,"Multiple files use undeclared variables (result in LSDB.js; songtitle/url/state/time/bar in app.js/ui.js/SCI.js) which become implicit globals. Add proper declarations.",Multiple files
Optimization,Low,Remove excessive console.log in production,"main.js and app.js have many debug console.log statements (e.g. 'window focused' / 'window blurred' / 'scrolling'). Add a debug flag or remove for production.",main.js; app/lib/js/app.js
Optimization,Low,Downloads go to app directory instead of user Downloads,"scdownloaderbtnreq saves to `${appdirectory}/Downloads/` inside the app folder. Should use Electron's app.getPath('downloads') or let the user pick a directory.",app/lib/js/app.js
Code Quality,High,Add error handling for DOM queries in plugins,"infoticker.js and SCI.js query SoundCloud DOM elements without null checks. If SC changes its layout these will throw and break the app silently.",plugins/infoticker.js; plugins/SCI.js
Code Quality,High,Add a linter and formatter,"No ESLint or Prettier config exists. Adding these would catch bugs like the missing parentheses and undeclared variables automatically.",Project root
Code Quality,Medium,Modularize app.js,"app.js is a ~570-line monolith handling Discord RPC / lyrics / song showcase / downloader / media keys / keyboard shortcuts / Last.fm. Split into modules.",app/lib/js/app.js
Code Quality,Medium,Add unit and integration tests,"No test files or test framework exists. Critical logic like settings persistence / LSDB / lyrics parsing should have test coverage.",Project root
Code Quality,Low,Consistent code style across plugins,"Some plugins use semicolons and some don't. Variable naming is inconsistent (camelCase vs lowercase). Standardize with a shared config.",plugins/
Feature,High,System tray media info and controls,"The tray currently only shows Play/Pause and Skip. Add track title / artist display and a Previous Track option.",main.js
Feature,High,Auto-update mechanism,"No auto-update functionality exists. Integrate electron-updater or Squirrel auto-update to notify and apply updates in-app.",main.js; package.json
Feature,High,Minimize to tray instead of quitting,"Closing the window quits the app. Add an option to minimize to system tray and keep playing in the background.",main.js
Feature,Medium,Keyboard shortcuts customization panel,"Shortcuts are hardcoded (Ctrl+R / F5 / Esc / media keys). Let users rebind these from the settings UI.",main.js; app/index.html
Feature,Medium,Mini player / picture-in-picture mode,"A small floating window showing current track info and basic controls when the main window is minimized.",main.js
Feature,Medium,Desktop notifications on track change,"Show a native OS notification with song title / artist / cover art when a new track starts playing.",app/lib/js/app.js
Feature,Medium,Equalizer or audio enhancement controls,"Add a built-in audio equalizer or bass boost / normalization using Web Audio API within the webview.",New plugin
Feature,Medium,Proxy support,"Listed in README TODO. Add proxy configuration in settings to route webview traffic through a user-specified proxy.",main.js; app/index.html
Feature,Medium,Sleep timer,"Add a countdown timer that pauses playback after a set duration — useful for listening before sleeping.",app/lib/js/app.js; app/index.html
Feature,Medium,Queue management panel,"Show and reorder the current playback queue from within the BetterSoundCloud UI.",New plugin
Feature,Medium,Global search within app,"Add a search bar (Ctrl+K or Ctrl+L) that navigates directly to a SoundCloud search URL without opening the full settings panel.",app/lib/js/ui.js; app/index.html
Feature,Medium,Linux and macOS distribution packages,"Listed in README TODO. Add electron-forge makers for DMG (macOS) / AppImage / deb / rpm (Linux) in forge.config.js.",forge.config.js
Feature,Low,Offline listening / caching,"Listed in README TODO. Cache recently played tracks locally so they can be replayed without internet.",New feature
Feature,Low,Geo-restriction bypass,"Listed in README TODO. Attempt to bypass 'this song is not available in your country' errors via proxy or user-agent tricks.",New feature
Feature,Low,Enhanced shuffle algorithm,"Listed in README TODO. Override SoundCloud's default shuffle with a Fisher-Yates or weighted random that avoids repeats.",New plugin
Feature,Low,Waveform visualization in fullscreen/showcase,"Listed in README TODO. Render the SoundCloud waveform data in the song showcase / fullscreen mode.",app/lib/js/app.js
Feature,Low,Import/export settings and themes,"Let users export their settings / custom CSS / custom JS / theme choice to a file and import on another machine.",app/lib/js/settings.js
Feature,Low,Plugin marketplace or community theme browser,"Allow users to browse and install community-created themes and plugins from within the settings panel.",app/index.html
Feature,Low,Playback history log,"Keep a local history of played tracks with timestamps that users can browse and re-play.",New feature
Feature,Low,Scrobble history viewer for Last.fm,"Show recent Last.fm scrobbles inline in the app so users can verify their scrobbling is working.",plugins/lastfm.js; app/index.html
